Rating,Problem Name,Tags,ContestID,Index
800,Increasing Sequence,greedy,1882,A
2000,Anya and the Mysterious String,binary search;data structures,1881,G
1700,Minimum Maximum Distance,dfs and similar;dp;graphs;shortest paths;trees,1881,F
1500,Block Sequence,dp,1881,E
1300,Divide and Equalize,math;number theory,1881,D
1200,Perfect Square,brute force;implementation,1881,C
900,Three Threadlets,math,1881,B
800,Don't Try to Count,brute force;strings,1881,A
2800,Last Man Standing,brute force;data structures;number theory,1879,F
2400,Interactive Game with Coloring,brute force;constructive algorithms;dfs and similar;graphs;implementation;interactive;trees,1879,E
1700,Sum of XOR Functions,bitmasks;combinatorics;divide and conquer;dp;math,1879,D
1300,Make it Alternating,combinatorics;dp;greedy,1879,C
900,Chips on the Board,constructive algorithms;greedy,1879,B
800,Rigged!,greedy,1879,A
2300,wxhtzdy ORO Tree,binary search;bitmasks;brute force;data structures;dfs and similar;implementation;trees,1878,G
1900,Vasilije Loves Number Theory,brute force;math;number theory,1878,F
1400,Iva & Pav,binary search;bitmasks;data structures;greedy,1878,E
1600,Reverse Madness,data structures;greedy,1878,D
900,Vasilije in Cacak,math,1878,C
800,Aleksa and Stack,constructive algorithms;math,1878,B
800,How Much Does Daytona Cost?,greedy,1878,A
1200,Joyboard,math;number theory,1877,C
800,Goals of Victory,math,1877,A
3500,Clubstep,binary search;brute force;data structures;greedy;trees,1876,G
3500,Indefinite Clownfish,binary search;graphs,1876,F
3300,Ball-Stackable,constructive algorithms;data structures;dp;trees,1876,E
2500,Lexichromatography,combinatorics;dfs and similar;dsu;graphs;two pointers,1876,D
2100,Autosynthesis,constructive algorithms;dfs and similar;graphs;greedy;sortings,1876,C
1500,Effects of Anti Pimples,combinatorics;number theory;sortings,1876,B
1000,Helmets in Night Light,greedy;sortings,1876,A
